0.0001, 1.15497
0.46025, 1.15497
1.04603, 1.15497
1.54812, 1.15497
2.17573, 1.15288
2.71967, 1.15079
3.13808, 1.13613
3.45188, 1.11518
3.64017, 1.09843
3.89121, 1.08586
4.18410, 1.07958
4.53975, 1.07749
5.23013, 1.07539
5.60669, 1.07120
5.69038, 1.03455
5.73222, 0.93089
5.77406, 0.81990
5.81590, 0.70890
5.85774, 0.54555
5.89958, 0.46073
5.94142, 0.30262
5.98326, 0.20838
6.06695, 0.11623
6.19247, 0.07016
6.35983, 0.03037
6.75732, 0.01257
7.30126, 0.00628
12.17573, 0.00105
20.87866, 0.00105
24.68619, 0.00314
26.42259, 0.00105
28, 0.0005
30, 0.00022
